#	Sequence_name	block_1_18_60987833_60988302_patient_1::18:60987807-60988326
change	rank	file_name	score_pca	mean_ddba
Positive	1	SOX10_2_from_SOX10_jaspar_MA0442.1.mlp	0.7044948878125369	0.18420837857999997
Positive	2	SOX10_1_from_SOX10_transfac_M01131.mlp	0.5198153858540938	0.12312480188000001
Positive	3	GATA_known8_from_GATA1_5_from_GATA-1_transfac_M00346.mlp	0.4812820873008912	0.16198036698333332
Positive	4	SOX17_2_from_Sox17_jaspar_MA0078.1.mlp	0.33961439611271493	0.08395147124
Positive	5	AP3_1_from_AP-3_transfac_M00690.mlp	0.2917151849641991	0.06484143339666666
Positive	6	GCM_1_from_GCM_transfac_M00634.mlp	0.286238622657506	0.12719681928666668
Positive	7	WT1_1_from_WT1_transfac_M01118.mlp	0.15438397108518342	0.03171915188333333
Positive	8	SP1_known9_from_SP3_2_from_SP3_jolma_DBD_M30.mlp	0.13754883331510584	0.053284812099999995
Positive	9	KLF16_1_from_KLF16_jolma_DBD_M23.mlp	0.1013116220329941	0.06267623425
Positive	10	SRY_3_from_SRY_jaspar_MA0084.1.mlp	0.0809010238062882	0.018489984153
Negative	1	FOXC1_2_from_FOXC1_jaspar_MA0032.1.mlp	-0.6991760290901798	-0.17897088024283334
Negative	2	TATA_known4_from_TBP_4_from_TBP_transfac_M00980.mlp	-0.11821708667653098	-0.02312312060883333
Negative	3	AHR::ARNT_3_from_Arnt::Ahr_jaspar_MA0006.1.mlp	-0.09347849780816785	-0.017673726066666683
Negative	4	IRX5_2_from_IRX5_jolma_DBD_M563.mlp	-0.08435656689337749	-0.02608966950833333
Negative	5	CEBPB_known3_from_CEBP_1_from_CorEBP_transfac_M00159.mlp	-0.06089888819590262	-0.0130996390865
Negative	6	ZEB1_known5_from_ZEB1_5_from_ZEB1_jaspar_MA0103.1.mlp	-0.05656135990846596	-0.010212512438333364
Negative	7	IRX2_2_from_IRX2_jolma_DBD_M562.mlp	-0.040259793125789124	-0.014944753576666666
Negative	8	STAT_known13_from_STAT5A_4_from_STAT5A_transfac_M00499.mlp	-0.02146140383164427	-0.003586362263333347
Negative	9	FOXO4_2_from_FOXO4_transfac_M00476.mlp	-0.019376301308860307	-0.011781817995
Negative	10	FOXK1_4_from_Foxk1_jolma_DBD_M448.mlp	-0.013715339160593592	-0.0023516340850000183
