#	Sequence_name	block_1_18_60987833_60988302_patient_7::18:60987807-60988326
change	rank	file_name	score_pca	mean_ddba
Positive	1	WT1_1_from_WT1_transfac_M01118.mlp	1.3684588391250285	0.5964626155833332
Positive	2	OVOL2_1_from_MOVO-B_transfac_M01104.mlp	1.3093435894812002	0.5721044444666666
Positive	3	SP1_known7_from_SP1_6_from_SP1_jaspar_MA0079.2.mlp	1.0127908689372016	0.3861876275
Positive	4	SP1_known6_from_SP1_5_from_Sp1_transfac_M00933.mlp	0.965504245653768	0.3551557801666667
Positive	5	TEAD2_1_from_ETF_transfac_M00695.mlp	0.7939442857193948	0.2531780337666667
Positive	6	ZNF281_1_from_Zfp281_bulyk_sc09-primary.mlp	0.6449778087387436	0.39299932909666674
Positive	7	SOX10_2_from_SOX10_jaspar_MA0442.1.mlp	0.6276584927512424	0.1842949781466667
Positive	8	KLF12_1_from_AP-2rep_transfac_M00468.mlp	0.5344109283164582	0.14839560085166667
Positive	9	SP1_known4_from_SP1_3_from_Sp1_transfac_M00931.mlp	0.5334654766093803	0.17990655700000002
Positive	10	ZNF740_2_from_ZNF740_jolma_DBD_M50.mlp	0.45145483678137877	0.17002846083333334
Negative	1	FOXO6_2_from_FOXO6_jolma_DBD_M435.mlp	-0.7038024609285036	-0.21163541739333333
Negative	2	FOXI1_3_from_FOXI1_jolma_full_M414.mlp	-0.6386122511692431	-0.1863146120966667
Negative	3	FOXC1_2_from_FOXC1_jaspar_MA0032.1.mlp	-0.6166074483971234	-0.17897088024283334
Negative	4	FOXO4_4_from_FOXO4_jolma_DBD_M432.mlp	-0.6009352564165854	-0.17125529101166667
Negative	5	FOXG1_5_from_Foxg1_jolma_DBD_M442.mlp	-0.587828585959199	-0.16679393473166668
Negative	6	FOXP3_2_from_FOXP3_jolma_DBD_M437.mlp	-0.4889423490057628	-0.13075592152666668
Negative	7	FOXL1_4_from_FOXL1_jolma_full_M423.mlp	-0.48392915146443555	-0.1296092604
Negative	8	FOXK1_4_from_Foxk1_jolma_DBD_M448.mlp	-0.4723273161157574	-0.12498670117166666
Negative	9	FOXD2_2_from_FOXD2_jolma_DBD_M409.mlp	-0.4023285730313447	-0.10269792625833335
Negative	10	FOXA_known5_from_FOXA1_2_from_FOXA1_jaspar_MA0148.1.mlp	-0.36449880018470004	-0.11617407982333333
