#	Sequence_name	block_1_18_60987833_60988302_patient_10::18:60987807-60988326
change	rank	file_name	score_pca	mean_ddba
Positive	1	OVOL2_1_from_MOVO-B_transfac_M01104.mlp	0.9312913960148704	0.27732736851
Positive	2	HLTF_1_from_Hltf_jaspar_MA0109.1.mlp	0.6367130393196636	0.15877189212833334
Positive	3	KLF12_1_from_AP-2rep_transfac_M00468.mlp	0.5069253504354513	0.11789822575499999
Positive	4	TEAD2_1_from_ETF_transfac_M00695.mlp	0.3554923428374967	0.07861522556666665
Positive	5	FOXL1_2_from_FOXL1_jaspar_MA0033.1.mlp	0.33922270199144344	0.07151198195099999
Positive	6	BARHL2_2_from_BARHL2_jolma_DBD_M458.mlp	0.28256998637079356	0.061668656004999996
Positive	7	BARHL1_2_from_Barhl1_jolma_DBD_M467.mlp	0.24224958017537718	0.0522933377
Positive	8	BARHL2_5_from_BARHL2_jolma_full_M461.mlp	0.23693016215698273	0.053310782995
Positive	9	NKX6-2_1_from_Nkx6-2_transfac_M00489.mlp	0.16179533676355087	0.04038576902333333
Positive	10	WT1_1_from_WT1_transfac_M01118.mlp	0.16163615648942803	0.03198455028333333
Negative	1	STAT_known13_from_STAT5A_4_from_STAT5A_transfac_M00499.mlp	-0.8281703502018315	-0.23232762724000003
Negative	2	FOXO6_2_from_FOXO6_jolma_DBD_M435.mlp	-0.7475025829597644	-0.2282157366333333
Negative	3	FOXO4_4_from_FOXO4_jolma_DBD_M432.mlp	-0.7463492762936037	-0.22043649656666667
Negative	4	FOXC1_2_from_FOXC1_jaspar_MA0032.1.mlp	-0.6907206575166287	-0.17897088024283334
Negative	5	FOXI1_3_from_FOXI1_jolma_full_M414.mlp	-0.6636063745880925	-0.1929028456533333
Negative	6	FOXG1_5_from_Foxg1_jolma_DBD_M442.mlp	-0.6455439812606514	-0.18256641873333335
Negative	7	ZEB1_known5_from_ZEB1_5_from_ZEB1_jaspar_MA0103.1.mlp	-0.5995481280176337	-0.14985378670500002
Negative	8	FOXL1_4_from_FOXL1_jolma_full_M423.mlp	-0.5263838189550021	-0.13528544749833332
Negative	9	FOXK1_4_from_Foxk1_jolma_DBD_M448.mlp	-0.5218005041851161	-0.12853961742666667
Negative	10	FOXP3_2_from_FOXP3_jolma_DBD_M437.mlp	-0.5186998241839056	-0.12929928621333336
