gene	mr_id	rg_Tvalue	rg_Pvalue	enhancer	gene_type	utest_Pvalue	expectPvalue	group1_exp_mean	group2_exp_mean	rratio	dmr_KO_vs_P
DAZL	chr3:mr555	-2.16359478027841	0.1629516170347724		5dist:5000:1000000	0.1666666666666666	0.0	7.639752768853095	10.394053610616352	-0.305459733104253	D
DAZL	chr3:mr538	-1.0310837433610551	0.410870237078438		5dist:5000:1000000	0.6666666666666666	0.0	7.639752768853095	10.394053610616352	-0.305459733104253	D
DAZL	chr3:mr540	3.5213432626451056	0.0720400088903907		5dist:5000:1000000	1.0	0.0	7.639752768853095	10.394053610616352	-0.305459733104253	D
DAZL	chr3:mr559	1.4452273094006691	0.2852659150861084		5dist:5000:1000000	1.0	0.1	7.639752768853095	10.394053610616352	-0.305459733104253	D
DAZL	chr3:mr544	1.8739494292011607	0.2017928484317427		5dist:5000:1000000	1.0	0.1	7.639752768853095	10.394053610616352	-0.305459733104253	D
DAZL	chr3:mr542	1.2630041171798791	0.3338922555563153		5dist:5000:1000000	0.6666666666666666	0.1	7.639752768853095	10.394053610616352	-0.305459733104253	D
DAZL	chr3:mr553	1.7536297072617344	0.2215861051609485		5dist:5000:1000000	1.0	0.1	7.639752768853095	10.394053610616352	-0.305459733104253	D
LSM3	chr3:mr332	-2.4377977262292747	0.1350136080705142		5dist:5000:1000000	0.1666666666666666	0.2	7.136587901878109	6.198926791595873	0.1406261598198531	D
LSM3	chr3:mr319	-0.9178055119088244	0.4556094363848282		5dist:5000:1000000	0.3333333333333333	0.6	7.136587901878109	6.198926791595873	0.1406261598198531	D
LSM3	chr3:mr335	-1.4013497143379254	0.2961312203603942		5dist:5000:1000000	0.6666666666666666	0.4	7.136587901878109	6.198926791595873	0.1406261598198531	D
LSM3	chr3:mr333	2.342206511787079	0.1439438252288296		5dist:5000:1000000	1.0	0.0	7.136587901878109	6.198926791595873	0.1406261598198531	D
